Source,Target,Weight,Type
76,508,4.369863627169257,directed
356,204,5.0857843137254894,directed
894,566,4.132620626378237,directed
56,300,4.348460206548055,directed
764,376,4.581935984711581,directed
356,392,4.109221859357039,directed
232,795,5.912726838586432,directed
242,504,3.7689393939393945,directed
702,376,4.436601544474111,directed
184,776,4.084335970052477,directed
178,76,4.212230196935982,directed
756,51,4.101724444943051,directed
4,275,4.570668596411608,directed
90,776,4.16837207151104,directed
50,528,3.952073919697349,directed
508,380,4.109709342243567,directed
682,120,4.224385022909508,directed
404,887,4.103035677777325,directed
792,214,3.956796732581791,directed
4,484,4.513658937497974,directed
887,528,4.937480619262304,directed
48,703,3.9022435897435903,directed
324,860,4.179783140958377,directed
196,462,4.677483974358975,directed
76,729,3.9211560044893377,directed
784,96,4.26269734348814,directed
392,862,3.9736591449470247,directed
446,398,4.018151815181518,directed
792,702,4.475706309010948,directed
706,854,4.1316054534980085,directed
328,480,3.764880952380952,directed
784,348,4.169415636438715,directed
798,882,3.8449605805112186,directed
12,516,4.19911858974359,directed
578,231,4.20336476479098,directed
752,246,4.255199889517802,directed
706,512,4.230592980899454,directed
324,266,4.556330384922477,directed
438,112,4.008071850841291,directed
608,818,4.35004253652556,directed
208,512,4.337121212121212,directed
170,48,2.9634581105169344,directed
4,44,4.4475096478533525,directed
442,752,4.150040069593144,directed
478,686,4.186302320788393,directed
442,233,4.256477736656043,directed
180,508,4.694413088887398,directed
40,784,4.252423124275234,directed
418,276,3.928830187056497,directed
376,368,4.715070026740398,directed
702,764,4.076326451606474,directed
795,376,4.143267967797935,directed
788,591,3.896844431903687,directed
356,208,4.067165064883776,directed
434,203,5.053990610328636,directed
242,818,4.206927838357848,directed
662,246,4.043015587529976,directed
380,694,4.285504694835681,directed
170,288,4.817747496607123,directed
756,24,4.14044289044289,directed
584,784,4.319852941176471,directed
706,180,4.249425828321789,directed
300,504,4.242888613088066,directed
562,266,4.466871554835167,directed
440,826,4.245930008156014,directed
858,756,4.110240888202768,directed
188,76,3.991800383383921,directed
724,818,4.321944416946024,directed
170,100,4.292366776430862,directed
56,51,4.125593945599302,directed
108,270,3.673887084858169,directed
180,729,4.059139797717879,directed
76,218,4.10407959311857,directed
320,76,3.992535376368022,directed
116,548,4.992773697269961,directed
192,28,3.970125786163521,directed
442,108,3.877179055942814,directed
76,356,4.095028305932042,directed
578,492,3.965555126507797,directed
64,356,3.917495757750837,directed
704,492,3.866031073446329,directed
276,203,4.379286280117192,directed
50,231,3.91740147753274,directed
788,392,4.189999329864467,directed
634,760,4.537623867701998,directed
124,426,4.04463040446304,directed
32,591,4.4678626538803545,directed
112,275,4.4490909360278215,directed
800,458,4.248412401311018,directed
48,222,3.863268608414241,directed
458,528,4.268920198346854,directed
410,458,4.170478748711305,directed
887,231,4.658779123104196,directed
756,887,3.976772755032772,directed
112,484,3.887910650245229,directed
376,320,4.02379922669993,directed
410,840,4.254658332425433,directed
288,400,4.616481894238691,directed
364,498,4.206223628691983,directed
204,690,4.124149659863946,directed
158,748,4.036458333333333,directed
818,24,3.872928143171228,directed
44,276,4.4363738492966895,directed
4,372,4.190851547210476,directed
776,296,3.862605727339024,directed
862,56,3.9914657275805303,directed
372,76,4.425882320328784,directed
320,608,3.7794833300115354,directed
32,392,4.202726815097716,directed
729,562,4.490500863557859,directed
48,368,4.138837214284432,directed
858,620,4.050257304116866,directed
894,148,3.9576802507836986,directed
703,704,3.972461345291916,directed
784,792,4.407676951800417,directed
250,616,4.2144676033793855,directed
180,218,4.062602291325695,directed
804,504,4.423271164342087,directed
56,24,3.233515478964875,directed
688,634,3.858024691358025,directed
340,218,4.274596197025825,directed
203,398,3.962920720458973,directed
276,132,5.302251232466534,directed
36,288,4.38760416639352,directed
608,566,4.8593842029141525,directed
384,616,3.8872672925694114,directed
887,417,4.361303344867359,directed
548,554,4.242463487733076,directed
818,887,4.517290302540332,directed
388,862,4.214868846915609,directed
410,430,3.9494235970443614,directed
788,208,4.226476648351649,directed
512,496,3.846651025807747,directed
356,300,3.712623844941036,directed
428,364,4.029166666666666,directed
360,710,4.488873198439492,directed
404,454,4.110141034745741,directed
376,104,4.341056496963203,directed
368,729,4.344631156691615,directed
795,12,2.906378600823049,directed
764,120,5.28083451485071,directed
56,887,4.273605830164765,directed
380,688,4.295250262898673,directed
204,466,4.454337797465086,directed
710,818,4.2322574304345535,directed
392,756,4.125230090973345,directed
620,404,4.3666520841983605,directed
348,246,4.126717513810292,directed
204,682,4.104429814827936,directed
566,516,4.047026665186985,directed
724,566,4.230411333062795,directed
807,8,4.249678392697631,directed
826,496,4.0064705175480055,directed
24,404,4.084069614054263,directed
860,643,4.137015386426079,directed
12,504,4.292537755644744,directed
32,208,4.123433142139604,directed
4,191,4.698665493753783,directed
60,438,4.67896174863388,directed
360,764,4.130556452074677,directed
276,710,4.287433757183806,directed
682,288,4.2606150725318415,directed
410,188,3.960168869309839,directed
608,192,4.165002051011589,directed
442,250,4.119304625508478,directed
458,124,3.985820967036452,directed
100,784,4.1250311100049775,directed
798,520,3.783711233824186,directed
404,384,3.621441689623506,directed
585,158,4.546036118014028,directed
191,246,3.9891098484848495,directed
400,51,4.087686694671225,directed
392,620,4.162560567540138,directed
276,764,4.267401547203652,directed
410,800,4.039001487685763,directed
124,804,4.311586903987851,directed
516,894,4.323653823324238,directed
724,192,4.215816505145119,directed
44,340,4.166666666666667,directed
428,716,4.982553366174056,directed
422,76,4.472624685710652,directed
76,270,4.129016064257029,directed
60,840,4.44392979890131,directed
756,454,4.611506524317913,directed
180,266,3.942308382770469,directed
703,156,4.309228212456533,directed
788,300,4.295164225780396,directed
144,156,4.143074699857851,directed
600,214,4.0647429378571625,directed
498,724,4.208061262989125,directed
410,752,4.156421206002089,directed
51,756,4.112353832473371,directed
84,218,4.210925736968735,directed
470,400,4.319758529686735,directed
520,548,3.331442259203228,directed
426,710,4.537902088636944,directed
410,233,4.085627050291796,directed
250,56,4.479333203837416,directed
324,72,4.166666666666667,directed
492,784,4.073658020385615,directed
148,706,3.921558156755526,directed
112,470,4.730113636363637,directed
428,826,4.294487346145536,directed
388,136,4.448270617454895,directed
554,798,4.163907731680092,directed
688,276,4.246620144471107,directed
4,360,4.343815148665924,directed
704,728,3.9428891830400223,directed
528,410,3.967048012135784,directed
32,300,4.12800859572478,directed
434,643,4.272474491639504,directed
422,608,4.515266728309855,directed
400,24,3.638438133874239,directed
591,516,3.7188697318007664,directed
392,96,4.141331003307235,directed
178,158,3.999610591900311,directed
44,410,4.089936755952382,directed
392,348,4.069103994053089,directed
214,76,4.076929850948618,directed
388,756,4.05157818645285,directed
894,616,4.1169856068040565,directed
818,454,4.087941866498229,directed
756,384,4.14981617647059,directed
288,795,3.9334001311789706,directed
504,246,4.8841940207780725,directed
174,792,4.429031325111756,directed
140,818,5.483885889510977,directed
356,24,3.757237386269644,directed
246,4,4.611370170220319,directed
148,376,4.640774459367131,directed
50,702,4.104247777145826,directed
462,410,4.850753334059931,directed
360,120,4.211150652431791,directed
458,275,4.420088772107839,directed
724,332,4.557600528221525,directed
400,887,4.621287442081057,directed
724,148,4.671216202025698,directed
686,434,4.385964912280701,directed
246,144,3.573994252873564,directed
51,620,4.187719630341507,directed
218,862,4.380830874006281,directed
124,854,4.077386758448991,directed
76,578,3.9628176401474,directed
764,48,4.205309840470912,directed
380,586,4.35840476707525,directed
854,204,4.206295564567375,directed
608,834,4.511116529812941,directed
784,414,4.217954601988568,directed
716,242,3.8179347826086967,directed
288,686,4.241316924612145,directed
124,512,3.7024226765568193,directed
434,336,4.1823177518085695,directed
368,266,4.142055129842486,directed
854,392,4.300595238095237,directed
566,504,4.1317810413064375,directed
788,51,4.054547141756047,directed
348,233,4.725463145922128,directed
710,192,4.389939623976252,directed
214,608,4.216608469518426,directed
694,702,4.197043923262871,directed
752,218,4.443210305435358,directed
398,688,3.93156951038465,directed
336,862,4.2019165527215705,directed
276,120,4.163477574967588,directed
818,384,3.934925093632959,directed
90,586,4.1659602139591625,directed
752,356,4.649286714692454,directed
616,894,4.122505724566569,directed
124,31,4.390494629446811,directed
862,8,3.964460784313725,directed
690,132,4.610363571555872,directed
233,703,4.150819638078491,directed
702,288,3.92590836189444,directed
72,728,3.629447565543072,directed
724,834,3.607540702656384,directed
320,158,3.9315448431688234,directed
56,384,4.060102301790281,directed
512,818,4.192735117020384,directed
834,56,4.268770627062705,directed
408,368,4.285837971723703,directed
686,368,4.158358895705521,directed
430,792,4.036891785731821,directed
706,728,4.414475009901808,directed
404,643,4.2063817578357625,directed
422,328,4.826110554442217,directed
232,710,4.429177292083392,directed
8,51,4.442255472574544,directed
178,678,4.033569810372567,directed
620,262,4.192434549577407,directed
440,784,4.188089406331599,directed
478,710,3.715643815398304,directed
332,840,4.526658614582671,directed
643,688,4.368367386549048,directed
376,548,4.271460465582982,directed
458,702,4.136706583651944,directed
392,792,4.158210207930282,directed
504,188,3.818893127404854,directed
4,112,4.708934903748732,directed
364,50,4.399846932079723,directed
688,340,3.877699941622884,directed
826,818,4.410432499449855,directed
792,4,4.563971178729673,directed
116,729,3.974772008773229,directed
156,426,3.9027335876641054,directed
438,276,4.488003427592116,directed
140,566,3.67533289630955,directed
554,458,4.009955645078325,directed
246,152,4.031519863741556,directed
729,894,4.711329747074367,directed
404,336,4.584839357429719,directed
520,242,3.857202318371083,directed
554,840,4.255008193487755,directed
410,250,4.028411668301182,directed
104,804,4.32176231276434,directed
516,392,4.10912816322488,directed
792,144,4.055174858364918,directed
4,428,4.260299625468164,directed
894,56,4.068086225026288,directed
214,328,4.13663380183204,directed
788,887,4.61344068083815,directed
144,308,4.796739718614719,directed
458,372,4.066207956777468,directed
740,643,4.140697137580794,directed
795,100,4.342723004694836,directed
862,646,4.046054012262192,directed
446,376,4.584882280049567,directed
670,634,3.929824561403508,directed
192,760,4.555083319124214,directed
558,616,4.412299854439593,directed
591,504,4.0126188278636485,directed
703,608,4.181785195936139,directed
498,524,4.5095238095238095,directed
196,458,3.949551925311896,directed
688,450,4.000443262411348,directed
188,348,4.0982852692734015,directed
756,643,4.381710120510499,directed
196,840,4.295746609744652,directed
792,178,3.7986214735784736,directed
410,116,4.005441632223016,directed
170,604,4.264631411082217,directed
620,528,4.179456996467233,directed
784,352,4.082034687995071,directed
840,426,3.852833275850743,directed
716,508,4.423161070873665,directed
68,156,4.205580509869569,directed
368,498,3.946886446886446,directed
242,616,4.7732843137254894,directed
266,430,4.2218543046357615,directed
51,762,3.678454785592259,directed
124,492,4.129687906981638,directed
512,566,4.470148420935162,directed
332,188,4.463506374362492,directed
136,659,3.8376364399664142,directed
136,76,3.9449343015214375,directed
348,598,3.888280396235525,directed
818,688,4.255606244316602,directed
208,76,4.135058849093558,directed
860,404,4.565523227969348,directed
807,364,4.3473895582329325,directed
417,12,3.664841849148419,directed
250,8,4.283902741745798,directed
716,729,4.387431472352199,directed
360,288,4.07866583529143,directed
756,336,4.065674324680527,directed
398,586,4.102962858202299,directed
372,348,4.228615574282909,directed
704,862,3.971403067126672,directed
56,688,4.200592300368594,directed
410,442,3.701975108225108,directed
578,862,4.244002675598206,directed
762,364,4.244437342286261,directed
826,566,4.320515138496345,directed
36,528,4.236570882339454,directed
112,428,4.220092215350581,directed
31,504,3.968637447087606,directed
554,188,4.476702583220569,directed
332,800,3.9679211203483753,directed
792,152,4.766507331639702,directed
528,496,4.138428714859438,directed
400,384,4.32900432900433,directed
616,170,4.488883943031415,directed
76,388,4.206540084388186,directed
300,408,5.377791068580552,directed
191,218,4.565225948669499,directed
440,32,3.965045845815237,directed
690,643,4.415130338107447,directed
191,356,4.015084944346807,directed
100,368,3.787840136054423,directed
616,392,4.311207588548371,directed
300,616,4.155238656350655,directed
140,148,5.349242637376574,directed
376,242,4.227419480065155,directed
643,586,4.235215078802663,directed
756,418,4.045182982539962,directed
203,376,4.46732937783294,directed
218,152,4.181680102430152,directed
76,380,4.166080259366296,directed
64,380,4.088541666666667,directed
724,52,4.467147435897435,directed
60,250,3.7142762634501416,directed
320,792,4.283291526448497,directed
178,858,4.1392944038929445,directed
716,356,4.277105148342059,directed
740,586,4.404196370232715,directed
682,528,4.301253556592233,directed
826,192,4.504888418816059,directed
784,524,4.144812106168387,directed
508,12,3.9607225910210464,directed
554,752,4.617895630108044,directed
620,124,4.150431117544117,directed
788,454,4.047619047619048,directed
250,646,4.874307297278204,directed
608,56,4.265912825657617,directed
586,100,3.9515704207225055,directed
360,404,4.1981946263645655,directed
336,152,4.165727190868034,directed
710,616,4.4563127925936135,directed
784,462,4.169448482105058,directed
384,646,4.079613095238096,directed
762,716,4.030797101449276,directed
24,124,4.085287993085022,directed
458,360,4.381582632814045,directed
492,368,4.739060910015992,directed
36,231,4.344564672916362,directed
496,643,4.147182727603562,directed
752,578,4.252119397050587,directed
96,768,4.039022611232677,directed
392,414,4.205792619527392,directed
807,826,4.072799571290589,directed
646,508,4.44251208467964,directed
818,418,3.757063539672236,directed
760,496,3.553921568627451,directed
250,196,4.204617234741297,directed
404,324,4.226767287385131,directed
8,203,4.4032098115839,directed
440,703,4.415651867140877,directed
372,792,4.336674389851809,directed
724,40,4.175436623070666,directed
729,392,4.388110150114326,directed
804,616,4.455854884738305,directed
196,752,4.244006391323891,directed
231,516,5.099659455128204,directed
136,328,4.033255993812838,directed
724,56,4.361729538222034,directed
276,404,4.070667487283525,directed
430,724,4.108650065641863,directed
68,659,4.055630327501121,directed
250,308,4.32711601318664,directed
662,578,4.043015587529976,directed
422,348,4.939037698412697,directed
860,36,4.015349092961268,directed
634,860,4.0217058770582215,directed
52,376,4.613292241190213,directed
646,729,4.07231528935658,directed
492,320,3.959577130028317,directed
152,768,3.625142694063928,directed
392,724,4.107046425180839,directed
826,332,4.166173561952278,directed
818,586,4.19151693656422,directed
484,807,4.045124294935346,directed
682,231,4.731169745772379,directed
578,756,4.336258747851135,directed
156,512,4.253568152645697,directed
704,756,3.938704336255119,directed
262,562,5.576554204450266,directed
862,364,4.381986013812994,directed
410,740,3.956146106736658,directed
12,616,4.150228841116905,directed
512,834,3.800385227449154,directed
56,586,4.031872881679356,directed
516,51,4.174928719543806,directed
178,140,4.348346796280666,directed
124,728,3.971417417131036,directed
180,50,3.994422572178478,directed
156,31,4.085820345855685,directed
400,643,4.413729217373358,directed
620,275,4.723634663400166,directed
288,710,4.046231102829768,directed
250,296,3.8787366912366914,directed
270,414,4.114219114219114,directed
496,418,3.9449512002768055,directed
426,404,4.132352941176471,directed
795,804,4.304936520799568,directed
376,508,4.613902270584616,directed
50,4,4.359123672909963,directed
756,324,4.605954557466284,directed
620,484,4.048208756247847,directed
643,478,4.275058788947678,directed
24,275,4.076276877570934,directed
646,218,3.9608347627215545,directed
682,417,3.9664494285595966,directed
360,690,4.12037037037037,directed
887,4,4.657980510448378,directed
332,250,4.452110061667526,directed
50,144,4.014807923418617,directed
840,854,4.354303065118748,directed
430,352,3.995346869712352,directed
578,620,4.173294573714336,directed
410,674,3.826804289950077,directed
704,620,3.920121799697566,directed
840,512,4.370517451525398,directed
440,368,4.112968830279157,directed
84,388,4.324986081809659,directed
442,398,4.512405413250633,directed
288,764,3.9361745512052497,directed
380,760,4.644608191079391,directed
376,729,4.442651161577311,directed
170,214,4.404879300086852,directed
144,826,4.101514031726687,directed
440,780,4.378502577897333,directed
422,792,4.6367805178877735,directed
270,724,4.101825168107589,directed
392,352,4.369225867785553,directed
516,24,4.2282382378636,directed
434,36,3.7658819133034394,directed
702,528,4.081040450327852,directed
528,818,4.188874981596461,directed
840,31,4.244037358395951,directed
554,250,4.235440240196641,directed
348,578,3.7320075757575752,directed
442,422,4.489545617962368,directed
894,646,3.776142788582601,directed
84,380,4.21462912087912,directed
818,324,4.194444444444444,directed
44,818,4.173596700963728,directed
52,12,4.376680107526881,directed
887,178,4.0129778007285,directed
174,462,3.9406852617079897,directed
558,156,4.037996848705605,directed
600,152,4.159443337114376,directed
188,414,4.451026856240126,directed
417,100,4.195569238748573,directed
462,818,4.280315367793745,directed
308,388,4.520970299404528,directed
760,504,4.432200467661996,directed
434,466,4.763901144992984,directed
56,324,4.2473150676394615,directed
