ISO,Score,Rank,Political Context,Rank_Pol,Economic Context,Rank_Eco,Legal Context,Rank_Leg,Social Context,Rank_Soc,Safety,Rank_Saf,Zone,Country_EN,Country_FR,Country_ES,Country_AR,Country_FA,Year (N),Rank N-1,Rank evolution,Country_PT,Score N-1,Score evolution
TGO,"57,17",100,"57,52",84,"41,73",94,"61,93",104,"69,5",87,"55,15",116,Afrique,Togo,Togo,Togo,توغو,توگو,2022,74,-26,,,
CAF,"56,96",101,"51,21",107,"41,07",99,"62,06",103,"68,25",92,"62,19",102,Afrique,Central African Republic,République centrafricaine,República Centroafricana,جمهورية أفريقيا الوسطى,جمهوری آفریقای مرکزی,2022,126,25,,,
FJI,"56,91",102,"44,85",128,"39,8",104,"58,33",115,64,107,"77,55",54,Asie-Pacifique,Fiji,Fidji,Fiyi,فيجي,فیجی,2022,55,-47,,,
ALB,"56,41",103,"50,55",113,"29,39",154,"68,77",75,"66,6",98,"66,75",90,Europe - Asie centrale,Albania,Albanie,Albania,ألبانيا,آلبانی,2022,83,-20,,,
TCD,"56,18",104,"55,88",89,"43,27",85,"60,35",111,"63,2",109,"58,21",110,Afrique,Chad,Tchad,Chad,تشاد,چاد,2022,123,19,,,
GAB,56,105,"48,38",115,"39,46",106,"56,14",123,"65,5",102,"70,52",80,Afrique,Gabon,Gabon,República Gabonesa,الغابون,گابون,2022,117,12,,,
UKR,"55,76",106,"61,21",70,"42,86",86,"79,45",36,"76,43",62,"18,84",165,Europe - Asie centrale,Ukraine,Ukraine,Ucrania,أوكرانيا,اوکراين,2022,97,-9,,,
BDI,"55,74",107,"50,03",114,"44,67",80,"59,55",113,"52,78",139,"71,66",77,Afrique,Burundi,Burundi,Burundi,بوروندي,بروندی,2022,147,40,,,
GRC,"55,52",108,"60,5",72,"38,13",113,"69,54",70,"65,36",103,"44,1",128,Europe - Asie centrale,Greece,Grèce,Grecia,اليونان,یونان,2022,70,-38,,,
ZMB,"55,4",109,"52,35",103,"37,76",114,"58,33",115,64,107,"64,55",94,Afrique,Zambia,Zambie,Zambia,زامبيا,زامبیا,2022,115,6,,,
BRA,"55,36",110,"51,62",105,"37,59",115,"69,74",69,70,83,"47,86",124,Amériques,Brazil,Brésil,Brasil,البرازيل,برزیل,2022,111,1,,,
MLI,"54,48",111,"35,15",161,"42,6",88,"74,34",58,"78,5",54,"41,81",133,Afrique,Mali,Mali,Malí,مالي,مالی,2022,99,-12,,,
SLV,"54,09",112,"42,94",137,"39,07",107,"63,22",101,"62,86",111,"62,37",100,Amériques,El Salvador,El Salvador,El Salvador,السلفادور,ال‌سالوادور,2022,82,-30,,,
MYS,"51,55",113,"46,52",122,"42,6",88,"40,13",155,56,128,"72,48",73,Asie-Pacifique,Malaysia,Malaisie,Malasia,ماليزيا,مالزی,2022,119,6,,,
ETH,"50,53",114,"50,65",112,"45,77",76,"63,66",99,"57,29",126,"35,29",144,Afrique,Ethiopia,Éthiopie,Etiopía,أثيوبيا,اتیوپی,2022,101,-13,,,
THA,"50,15",115,"58,99",81,"45,24",77,"47,37",142,"53,67",137,"45,5",127,Asie-Pacifique,Thailand,Thaïlande,Tailandia,تايلاند,تایلند,2022,137,22,,,
MOZ,"49,89",116,"46,06",123,"40,31",100,"61,62",105,"47,25",153,"54,21",118,Afrique,Mozambique,Mozambique,Mozambique,موزمبيق,موزامبیک,2022,108,-8,,,
IDN,"49,27",117,"45,91",125,"41,33",96,"55,7",125,66,99,"37,42",139,Asie-Pacifique,Indonesia,Indonésie,Indonesia,أندونيسيا,اندونزی,2022,113,-4,,,
CMR,"49,1",118,"48,05",116,"35,71",123,"56,89",121,"67,57",94,"37,25",140,Afrique,Cameroon,Cameroun,Camerún,الكاميرون,کامرون,2022,135,17,,,
QAT,"49,03",119,"59,7",76,"46,94",71,"43,86",149,"42,5",162,"52,17",120,Maghreb - Moyen-Orient,Qatar,Qatar,Catar,قطر,قطر,2022,128,9,,,
JOR,"48,66",120,40,151,"32,65",136,"41,23",154,66,99,"63,4",99,Maghreb - Moyen-Orient,Jordan,Jordanie,Jordania,الأردن,اردن,2022,129,9,,,
BEN,"48,39",121,"47,73",117,"28,19",158,"57,46",118,"55,5",132,"53,1",119,Afrique,Benin,Bénin,Benín,بنين,بنین,2022,114,-7,,,
KAZ,"48,28",122,"43,52",136,"29,8",153,"51,93",135,"52,3",140,"63,85",98,Europe - Asie centrale,Kazakhstan,Kazakhstan,Kazajistán,كازاخستان,قزاقستان,2022,155,33,,,
TZA,"48,28",123,"43,88",135,"32,65",136,"45,09",143,"59,2",122,"60,56",105,Afrique,Tanzania,Tanzanie,Tanzania,تنزانيا,تانزانیا,2022,124,1,,,
GTM,"47,94",124,"46,06",123,"33,67",132,"68,86",73,59,123,"32,12",150,Amériques,Guatemala,Guatemala,Guatemala,غواتيمالا,گواتمالا,2022,116,-8,,,
COD,"47,66",125,"51,33",106,"41,43",95,"60,88",108,"60,3",119,"24,34",161,Afrique,The Democratic Republic Of The Congo,RD Congo,RD Congo,جمهورية الكونغو الديمقراطية,جمهوری دمکراتیک کنگو,2022,149,24,,,
BOL,"47,58",126,"44,55",133,"33,67",132,"58,77",114,45,155,"55,89",112,Amériques,Bolivia,Bolivie,Bolivia,بوليفيا,بلیوی,2022,110,-16,,,
MEX,"47,57",127,"58,18",82,"43,37",84,"65,79",91,"59,5",121,"11,02",179,Amériques,Mexico,Mexique,México,المكسيك,مکزیک,2022,143,16,,,
SSD,"47,06",128,"40,48",148,"36,73",118,"52,11",134,"50,6",143,"55,37",114,Afrique,South Sudan,Soudan du Sud,Sudán del Sur,جمهورية جنوب السودان,سودان جنوبی,2022,139,11,,,
NGA,"46,79",129,"45,15",127,"36,39",120,"53,8",129,"69,83",84,"28,75",154,Afrique,Nigeria,Nigeria,Nigeria,نيجيريا,نیجریه,2022,120,-9,,,
LBN,"46,58",130,"50,91",111,"38,27",111,"50,22",137,"60,5",117,"33,02",148,Maghreb - Moyen-Orient,Lebanon,Liban,Líbano,لبنان,لبنان,2022,107,-23,,,
